pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2024-08-15,87.8,-2.73,5.26,"Cano, Yennier",643376,666974,field_out,hit_into_play,,,,,9,"Danny Jansen grounds out, shortstop Gunnar Henderson to first baseman Ryan Mountcastle.",R,R,R,BAL,BOS,X,6,ground_ball,1,1,2024,0.87,-0.3,0.83,1.99,,,,2,9,Top,110.15,154.97,,,543510,,,6.759324551368742,-127.71077032092666,-1.0908019922193846,7.921534736207853,29.44007610129595,-35.381052176530254,3.3,1.54,30,76.2,-2,86.8,2471,6.0,747002,666974,543510,663624,702616,602104,683002,681297,656775,623993,54.53,0.109,0.096,0.0,1,0,0,2,67,3,Slider,5,1,1,5,1,5,1,5,Standard,Standard,64,0.001,-0.097,72.53712,7.51269
SI,2024-08-15,96.7,-2.47,5.4,"Cano, Yennier",643376,666974,,called_strike,,,,,7,"Danny Jansen grounds out, shortstop Gunnar Henderson to first baseman Ryan Mountcastle.",R,R,R,BAL,BOS,S,,,1,0,2024,-1.56,-0.04,-0.35,1.71,,,,2,9,Top,,,,,543510,,,9.14031981872284,-140.45997910467784,-4.1464195303524765,-22.72115243041316,32.44757421244844,-31.91320123942953,3.16,1.57,,,,96.1,2084,6.1,747002,666974,543510,663624,702616,602104,683002,681297,656775,623993,54.38,,,,,,,,67,2,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,262,0.0,-0.02,,
SL,2024-08-15,87.3,-2.77,5.19,"Cano, Yennier",643376,666974,,ball,,,,,14,"Danny Jansen grounds out, shortstop Gunnar Henderson to first baseman Ryan Mountcastle.",R,R,R,BAL,BOS,B,,,0,0,2024,1.29,-0.22,1.24,1.38,,,,2,9,Top,,,,,543510,,,6.94767954449819,-126.9530410950662,-2.4537364249626763,12.25451422132956,29.367542371321427,-34.23543908769375,3.19,1.54,,,,86.5,2543,6.1,747002,666974,543510,663624,702616,602104,683002,681297,656775,623993,54.4,,,,,,,,67,1,Slider,5,1,1,5,1,5,1,5,Standard,Standard,53,0.0,0.016,,
CH,2024-08-15,91.9,-2.81,5.54,"Cano, Yennier",807799,666974,grounded_into_double_play,hit_into_play,,,,,4,"Masataka Yoshida grounds into a double play, second baseman Jackson Holliday to shortstop Gunnar Henderson to first baseman Ryan Mountcastle.   Connor Wong out at 2nd.    Masataka Yoshida out at 1st.",R,L,R,BAL,BOS,X,4,ground_ball,1,0,2024,-1.65,0.13,-0.8,2.01,,,657136,0,9,Top,145.17,154.46,,,543510,,,8.614707987620811,-133.54767220083636,-3.3255490797414,-21.601150080213102,29.61403182830399,-30.03486592646507,3.19,1.4,8,92.5,-14,91.3,1857,6.1,747002,666974,543510,663624,702616,602104,683002,681297,656775,623993,54.4,0.12,0.103,0.0,1,0,0,2,66,2,Changeup,5,1,1,5,1,5,1,5,Infield shade,Standard,265,0.028,-0.603,74.82771,7.47643
FF,2024-08-15,96.5,-2.64,5.33,"Cano, Yennier",807799,666974,,ball,,,,,14,"Masataka Yoshida grounds into a double play, second baseman Jackson Holliday to shortstop Gunnar Henderson to first baseman Ryan Mountcastle.   Connor Wong out at 2nd.    Masataka Yoshida out at 1st.",R,L,R,BAL,BOS,B,,,0,0,2024,-1.23,0.59,1.02,1.82,,,657136,0,9,Top,,,,,543510,,,12.44634882518486,-139.9265056287282,-5.030545120523267,-18.968381598039496,32.52506812525474,-23.439554368502773,3.13,1.43,,,,95.9,2306,6.2,747002,666974,543510,663624,702616,602104,683002,681297,656775,623993,54.31,,,,,,,,66,1,4-Seam Fastball,5,1,1,5,1,5,1,5,Infield shade,Standard,254,0.0,0.066,,
SI,2024-08-15,96.2,-2.66,5.4,"Cano, Yennier",657136,666974,single,hit_into_play,,,,,4,Connor Wong singles on a ground ball to shortstop Gunnar Henderson.,R,R,R,BAL,BOS,X,6,ground_ball,2,2,2024,-1.4,-0.19,-0.33,2.49,,,,0,9,Top,110.15,154.97,,,543510,,,9.340605145364924,-139.8412581706315,-1.7135808864699014,-20.423855254165275,30.53425668222768,-34.49749906164751,3.29,1.43,3,83.9,-38,96.2,1924,6.3,747002,666974,543510,663624,702616,602104,683002,681297,656775,623993,54.21,0.063,0.061,0.9,1,1,0,2,65,6,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,261,-0.016,0.433,71.34028,6.16844
CH,2024-08-15,91.3,-2.51,5.67,"Cano, Yennier",657136,666974,,foul,,,,,14,Connor Wong singles on a ground ball to shortstop Gunnar Henderson.,R,R,R,BAL,BOS,S,,,2,2,2024,-1.39,0.25,0.92,1.4,,,,0,9,Top,,,,,543510,,,11.526802985352717,-132.4228999165395,-5.349739875298502,-18.780256599949844,28.52599187709809,-28.22501775408397,3.29,1.43,1,64.8,-55,90.8,1777,6.2,747002,666974,543510,663624,702616,602104,683002,681297,656775,623993,54.34,,,,,,,,65,5,Changeup,5,1,1,5,1,5,1,5,Standard,Standard,263,0.0,0.0,66.54264,7.92494
SL,2024-08-15,86.4,-2.69,5.18,"Cano, Yennier",657136,666974,,ball,,,,,14,Connor Wong singles on a ground ball to shortstop Gunnar Henderson.,R,R,R,BAL,BOS,B,,,1,2,2024,1.14,0.23,2.16,1.84,,,,0,9,Top,,,,,543510,,,9.161912414673466,-125.50073985728228,-2.157506107716206,10.15470486940216,25.862903363941538,-29.47678886326412,3.18,1.42,,,,85.8,2505,6.0,747002,666974,543510,663624,702616,602104,683002,681297,656775,623993,54.47,,,,,,,,65,4,Slider,5,1,1,5,1,5,1,5,Standard,Standard,45,0.0,0.036,,
FF,2024-08-15,96.3,-2.33,5.39,"Cano, Yennier",657136,666974,,ball,,,,,12,Connor Wong singles on a ground ball to shortstop Gunnar Henderson.,R,R,R,BAL,BOS,B,,,0,2,2024,-1.27,0.53,1.49,2.99,,,,0,9,Top,,,,,543510,,,12.916779388975218,-139.71209540902902,-1.9560312895133811,-19.49806288591273,31.562017241646057,-24.98269242565735,3.23,1.42,,,,95.5,2338,6.0,747002,666974,543510,663624,702616,602104,683002,681297,656775,623993,54.49,,,,,,,,65,3,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,258,0.0,0.02,,
CH,2024-08-15,91.6,-2.6,5.69,"Cano, Yennier",657136,666974,,called_strike,,,,,9,Connor Wong singles on a ground ball to shortstop Gunnar Henderson.,R,R,R,BAL,BOS,S,,,0,1,2024,-1.48,0.21,0.71,1.78,,,,0,9,Top,,,,,543510,,,11.496895820302436,-132.9212386896668,-4.420787221473191,-20.03884831301278,28.361310910298624,-28.86308890027504,3.29,1.48,,,,91.1,1746,6.1,747002,666974,543510,663624,702616,602104,683002,681297,656775,623993,54.4,,,,,,,,65,2,Changeup,5,1,1,5,1,5,1,5,Standard,Standard,260,0.0,-0.047,,
